"Date","Movie ID (prop69)","Page Views","Unique Visitors"
"October 02, 2021","224835",4,1
"October 02, 2021","224837",40,18
"October 02, 2021","224838",61,25
"October 02, 2021","224852",45,19
"October 02, 2021","224864",1,1
"October 02, 2021","224865",5,3
"October 02, 2021","224875",3819,1428
"October 02, 2021","224880",4,1
"October 02, 2021","224881",17,7
"October 02, 2021","224884",22,14
"October 02, 2021","224889",40,15
"October 02, 2021","224893",7,3
"October 02, 2021","224898",1,1
"October 02, 2021","224918",331,106
"October 02, 2021","224925",2,1
"October 02, 2021","224926",155,94
"October 02, 2021","224927",10,4
"October 02, 2021","224928",3,1
"October 02, 2021","224929",6,1
"October 02, 2021","224944",23,14
"October 02, 2021","224948",2,1
"October 02, 2021","224953",1,1
"October 02, 2021","224962",4,2
"October 02, 2021","224964",12,4
"October 02, 2021","224965",89,40
"October 02, 2021","224968",1,1
"October 02, 2021","224971",130,41
"October 02, 2021","224983",1,1
"October 02, 2021","224990",55,22
"October 02, 2021","224991",16,6
"October 02, 2021","224993",8,3
"October 02, 2021","224999",2,1
"October 02, 2021","225008",10,5
"October 02, 2021","225021",2,2
"October 02, 2021","225022",920,287
"October 02, 2021","225023",51,14
"October 02, 2021","225024",2,1
"October 02, 2021","225033",10,8
"October 02, 2021","225034",7,4
"October 02, 2021","225037",39,17
"October 02, 2021","225042",59,25
"October 02, 2021","225043",1,1
"October 02, 2021","225045",10,5
"October 02, 2021","225048",6,3
"October 02, 2021","225051",5,2
"October 02, 2021","225052",55,19
"October 02, 2021","225053",10,4
"October 02, 2021","225054",6,2
"October 02, 2021","225056",8,4
"October 02, 2021","225061",22,12
"October 02, 2021","225063",106,20
"October 02, 2021","225067",13,2
"October 02, 2021","225068",9,4
"October 02, 2021","225069",60,13
"October 02, 2021","225079",11,3
"October 02, 2021","225094",1,1
"October 02, 2021","225096",3,1
"October 02, 2021","225099",7,5
"October 02, 2021","225100",49,23
"October 02, 2021","225104",15,5
"October 02, 2021","225110",31,11
"October 02, 2021","225117",4,2
"October 02, 2021","225124",23,9
"October 02, 2021","225125",6,3
"October 02, 2021","225127",718,275
"October 02, 2021","225143",48,25
"October 02, 2021","225145",20,9
"October 02, 2021","225150",15,5
"October 02, 2021","225152",66,13
"October 02, 2021","225153",22,7
"October 02, 2021","225154",139,82
"October 02, 2021","225155",104,67
"October 02, 2021","225156",7,4
"October 02, 2021","225159",2,2
"October 02, 2021","225160",14,6
"October 02, 2021","225163",17,6
"October 02, 2021","225165",289,108
"October 02, 2021","225166",39,11
"October 02, 2021","225167",2,1
"October 02, 2021","225170",202,46
"October 02, 2021","225171",4,3
"October 02, 2021","225174",12,6
"October 02, 2021","225178",11,5
"October 02, 2021","225179",26,15
"October 02, 2021","225180",19,2
"October 02, 2021","225183",106,18
"October 02, 2021","225185",828,202
"October 02, 2021","225187",10,5
"October 02, 2021","225190",48,26
"October 02, 2021","225201",7,3
"October 02, 2021","225202",5,39
"October 02, 2021","225203",54,7
"October 02, 2021","225204",112,26
"October 02, 2021","225205",3,1
"October 02, 2021","225206",96,26
"October 02, 2021","225208",1,1
"October 02, 2021","225209",6,3
"October 02, 2021","225210",3,2
"October 02, 2021","225211",292,67
"October 02, 2021","225221",2,1
"October 02, 2021","225222",176,52
"October 02, 2021","225231",2,1
"October 02, 2021","225239",1,1
"October 02, 2021","225241",6,3
"October 02, 2021","225242",41,12
"October 02, 2021","225243",59,27
"October 02, 2021","225246",23,8
"October 02, 2021","225247",155,47
"October 02, 2021","225248",115,46
"October 02, 2021","225251",2,1
"October 02, 2021","225255",55,27
"October 02, 2021","225256",3,3
"October 02, 2021","225258",1,1
"October 02, 2021","225259",86,18
"October 02, 2021","225260",16,7
"October 02, 2021","225261",8,4
"October 02, 2021","225271",2,2
"October 02, 2021","225272",1,1
"October 02, 2021","225278",33,13
"October 02, 2021","225280",10,7
"October 02, 2021","225299",21,9
"October 02, 2021","225304",864,190
"October 02, 2021","225305",2345,510
"October 02, 2021","225313",4,3
"October 02, 2021","225318",65,31
"October 02, 2021","225321",3,1
"October 02, 2021","225325",1,1
"October 02, 2021","225327",4,1
"October 02, 2021","225329",242,121
"October 02, 2021","225330",3,2
"October 02, 2021","225331",7,3
"October 02, 2021","225332",20,11
"October 02, 2021","225333",3,2
"October 02, 2021","225335",3,2
"October 02, 2021","225339",6,3
"October 02, 2021","225340",830,322
"October 02, 2021","225341",1383,328
"October 02, 2021","225343",4,1
"October 02, 2021","225347",5,1
"October 02, 2021","225350",2,1
"October 02, 2021","225351",5,1
"October 02, 2021","225359",148,55
"October 02, 2021","225360",985,461
"October 02, 2021","225361",106,23
"October 02, 2021","225370",64,29
"October 02, 2021","225371",28,14
"October 02, 2021","225372",1,1
"October 02, 2021","225377",15,6
"October 02, 2021","225378",12,7
"October 02, 2021","225380",9,4
"October 02, 2021","225381",4,2
"October 02, 2021","225387",71,33
"October 02, 2021","225388",12,7
"October 02, 2021","225389",1529,594
"October 02, 2021","225391",297,82
"October 02, 2021","225392",3,2
"October 02, 2021","225393",13,7
"October 02, 2021","225398",15,9
"October 02, 2021","225402",1,1
"October 02, 2021","225408",60,29
"October 02, 2021","225414",1,1
"October 02, 2021","225415",278,113
"October 02, 2021","225416",5,5
"October 02, 2021","225417",6,6
"October 02, 2021","225418",9,8
"October 02, 2021","225419",8,5
"October 02, 2021","225420",2,1
"October 02, 2021","225421",102,46
"October 02, 2021","225423",21,9
"October 02, 2021","225424",7,2
"October 02, 2021","225425",231,83
"October 02, 2021","225426",26,20
"October 02, 2021","225443",12,6
"October 02, 2021","225444",18,11
"October 02, 2021","225445",14,5
"October 02, 2021","225446",4,3
"October 02, 2021","225448",6,3
"October 02, 2021","225449",50,20
"October 02, 2021","225450",54,22
"October 02, 2021","225451",18,7
"October 02, 2021","225452",5,4
"October 02, 2021","225453",12,5
"October 02, 2021","225454",2,1
"October 02, 2021","225458",1,1
"October 02, 2021","225459",20,10
"October 02, 2021","225461",2,1
"October 02, 2021","225462",12,6
"October 02, 2021","225463",7,3
"October 02, 2021","225464",17,11
"October 02, 2021","225466",3,2
"October 02, 2021","225472",1,1
"October 02, 2021","225473",27,11
"October 02, 2021","225475",6,3
"October 02, 2021","225477",1,1
"October 02, 2021","225480",17,5
"October 02, 2021","225481",1,1
"October 02, 2021","225488",3,1
"October 02, 2021","225491",34,17
"October 02, 2021","225492",3,1
"October 02, 2021","225493",5,4
"October 02, 2021","225497",8,2
"October 02, 2021","225498",1,1
"October 02, 2021","225502",9,5
"October 02, 2021","225503",7,5
"October 02, 2021","225504",18,6
"October 02, 2021","22941",4,2
"October 02, 2021","2308",2,2
"October 02, 2021","23114",5,1
"October 02, 2021","2333",7,1
"October 02, 2021","2344",1,1
"October 02, 2021","23862",8,2
"October 02, 2021","2417",1,1
"October 02, 2021","248",1,1
"October 02, 2021","2492",1,1
"October 02, 2021","2494",1,1
"October 02, 2021","2524",3,3
"October 02, 2021","256",1,1
"October 02, 2021","2622",9,7
"October 02, 2021","2649",3,3
"October 02, 2021","2686",1,1
"October 02, 2021","2703",2,2
"October 02, 2021","27767",2,1
"October 02, 2021","27774",6,4
"October 02, 2021","279",12,1
"October 02, 2021","27998",7,4
"October 02, 2021","28",14,6
"October 02, 2021","28693",1,1
"October 02, 2021","32224",4,3
"October 02, 2021","32227",48,16
"October 02, 2021","32228",9,6
"October 02, 2021","32442",3,1
"October 02, 2021","328",13,1
"October 02, 2021","32879",2,1
"October 02, 2021","33189",18,1
"October 02, 2021","33190",3,3
"October 02, 2021","332",4,2
"October 02, 2021","344",1,1
"October 02, 2021","34602",4,2
"October 02, 2021","355",2,1
"October 02, 2021","370",5,1
"October 02, 2021","37253",1,1
"October 02, 2021","38129",1,1
"October 02, 2021","394",12,4
"October 02, 2021","39729",4,1
"October 02, 2021","40332",4,1
"October 02, 2021","40579",5,5
"October 02, 2021","40580",2,2
"October 02, 2021","40689",1,1
"October 02, 2021","408",7,5
"October 02, 2021","41188",36,20
"October 02, 2021","43035",3,1
"October 02, 2021","44392",1,1
"October 02, 2021","45650",2,1
"October 02, 2021","474",1,1
"October 02, 2021","47796",3,2
"October 02, 2021","47879",15,8
"October 02, 2021","47884",2,1
"October 02, 2021","48002",1,1
"October 02, 2021","48199",1,1
"October 02, 2021","48651",8,1
"October 02, 2021","49695",3,2
"October 02, 2021","50881",2,1
"October 02, 2021","51960",1,1
"October 02, 2021","52314",1,1
"October 02, 2021","54537",2,1
"October 02, 2021","55245",2,2
"October 02, 2021","56197",6,3
"October 02, 2021","61957",3,1
"October 02, 2021","631",5,5
"October 02, 2021","64487",1,1
"October 02, 2021","6590",1,1
"October 02, 2021","666",2,1
"October 02, 2021","66732",4,2
"October 02, 2021","70689",8,5
"October 02, 2021","71849",1,1
"October 02, 2021","72005",1,1
"October 02, 2021","72290",7,3
"October 02, 2021","73399",1,1
"October 02, 2021","756",12,6
"October 02, 2021","76870",1,1
"October 02, 2021","76881",2,2
"October 02, 2021","79319",13,8
"October 02, 2021","82119",2,1
"October 02, 2021","82410",1,1
"October 02, 2021","82825",32,16
"October 02, 2021","834",1,1
"October 02, 2021","83890",1,3
"October 02, 2021","84166",1,1
"October 02, 2021","84171",2,1
"October 02, 2021","84445",3,1
"October 02, 2021","84544",9,6
"October 02, 2021","85280",8,1
"October 02, 2021","85419",2,2
"October 02, 2021","85823",3,1
"October 02, 2021","85909",1,1
"October 02, 2021","85979",8,1
"October 02, 2021","86080",1,1
"October 02, 2021","86174",2,1
"October 02, 2021","87004",3,1
"October 02, 2021","88512",2,1
"October 02, 2021","88787",1,1
"October 02, 2021","89372",2,1
"October 02, 2021","90186",5,1
"October 02, 2021","90304",5,1
"October 02, 2021","90877",0,1
"October 02, 2021","91257",1,1
"October 02, 2021","91562",1,1
"October 02, 2021","91610",49,13
"October 02, 2021","91766",6,6
"October 02, 2021","92187",1,1
"October 02, 2021","92412",78,40
"October 02, 2021","92941",2,1
"October 02, 2021","93208",8,1
"October 02, 2021","94054",70,34
"October 02, 2021","94660",3,1
"October 02, 2021","95942",1,1
"October 02, 2021","97064",1,1
"October 02, 2021","98110",4,1
"October 02, 2021","98235",3,1
"October 02, 2021","98260",2,1
"October 02, 2021","98261",7,6
"October 02, 2021","98266",3,1
"October 02, 2021","98610",5,1
"October 02, 2021","99112",6,6
"October 02, 2021","99186",3,1
"October 02, 2021","99500",6,1
"October 02, 2021","null",3,2
